id,geschlecht,alter,groesse,gewicht,einkommen,bildung,konfession,kinder,glueck,fitness,essen,alkohol,tattoos,rhein,datause,arztbesuche,wandern,fasnacht,sehhilfe
3722,f,36,179.6,73.7,7500,sek III,katholisch,3,6,4,900,16,0,4,87,6,22,nein,ja
3723,m,67,191.9,68.2,12300,sek III,konfessionslos,1,6,5,1350,33,0,4,78,1,95,nein,nein
3724,m,45,187.2,NA,9500,sek III,konfessionslos,1,5,4,1010,0,0,3,95,3,92,nein,nein
3725,f,48,172.1,65,8400,sek III,NA,1,7,2,1060,22,1,2,63,8,71,nein,ja
3726,f,60,156.8,NA,8500,sek III,evangelisch-reformiert,4,9,1,1100,24,0,4,88,6,43,nein,ja
3727,m,25,179.5,84.8,6000,sek III,katholisch,0,6,6,570,40,0,5,59,4,46,nein,ja
3728,f,31,162.2,53.3,5200,sek III,konfessionslos,1,8,7,480,30,1,8,92,5,86,nein,ja
3729,f,48,164.4,81.7,9100,sek III,katholisch,0,8,8,1130,16,2,7,69,5,38,nein,ja
3730,f,70,146.1,NA,11200,sek III,katholisch,2,3,7,1510,33,0,4,120,5,58,nein,nein
3731,f,76,161.2,60.8,13300,lehre,NA,3,6,6,1500,9,5,4,92,3,88,nein,ja
3732,m,38,168.6,67.8,8000,lehre,evangelisch-reformiert,2,5,7,1120,0,0,7,121,3,48,nein,ja
3733,f,74,177.8,64.7,11400,lehre,evangelisch-reformiert,2,6,5,970,42,1,8,62,7,39,nein,nein
3734,m,39,174.2,87.3,7800,sek III,katholisch,1,4,4,820,51,0,6,131,1,58,nein,ja
3735,f,35,176.4,63.4,6900,sek II,katholisch,2,6,6,780,21,0,8,85,0,116,nein,ja
3736,m,49,183.3,93.1,8600,sek III,katholisch,2,7,6,910,52,0,3,80,2,78,nein,ja
3737,f,70,144.2,NA,10500,sek III,NA,0,7,9,1090,15,0,6,93,5,28,nein,ja
3738,m,25,189.6,83,3500,sek III,evangelisch-reformiert,5,6,6,780,0,0,2,103,1,47,nein,nein
3739,f,22,143.9,59.7,5200,sek II,evangelisch-reformiert,1,9,6,1370,0,2,3,82,7,37,nein,ja
3740,f,42,148.8,67.7,7300,lehre,katholisch,1,5,8,640,20,7,6,97,5,60,nein,ja
3741,m,51,184.2,NA,7900,sek II,konfessionslos,1,4,8,830,29,0,7,126,4,63,nein,ja
3742,f,35,176.7,68.8,6500,lehre,katholisch,1,3,5,590,39,3,2,87,6,28,nein,ja
3743,f,73,153.2,69.5,10900,sek III,evangelisch-reformiert,3,10,6,1180,42,0,4,105,3,100,nein,ja
3744,f,23,170.1,65.7,NA,sek III,NA,3,5,8,NA,14,0,6,78,6,58,nein,ja
3745,m,36,180.7,NA,6600,sek III,NA,2,9,4,1180,17,0,2,113,1,40,nein,ja
3746,m,31,180.9,95,4300,lehre,NA,2,8,4,650,0,3,3,79,3,54,nein,nein
3747,m,19,175.2,NA,NA,sek III,katholisch,3,5,7,NA,48,0,3,128,3,108,nein,ja
3748,m,36,188,83.7,8000,lehre,konfessionslos,0,6,4,650,0,0,1,103,1,79,nein,ja
3749,m,24,179.7,86.9,4900,sek III,NA,4,8,5,370,44,6,2,139,4,42,nein,ja
3750,m,73,185.1,NA,NA,lehre,katholisch,2,6,4,NA,0,0,1,90,2,68,nein,ja
3751,m,31,169.6,79.2,4000,sek III,katholisch,0,8,5,600,47,0,0,71,2,89,ja,nein
3752,f,63,159.8,62.9,10200,sek III,konfessionslos,1,7,9,1270,29,0,5,94,8,43,nein,ja
3753,m,42,172.4,89.6,6400,lehre,evangelisch-reformiert,2,5,2,460,53,0,5,60,3,64,nein,nein
3754,f,40,167.7,44,6900,lehre,NA,1,7,4,660,25,2,4,83,3,76,nein,nein
3755,m,24,176.6,97.6,4400,obligatorisch,NA,1,5,4,150,57,2,9,72,2,63,nein,nein
3756,m,62,179.3,88.2,10400,sek III,katholisch,3,5,4,1280,0,0,2,112,5,35,nein,nein
3757,m,42,176.9,NA,8400,lehre,katholisch,4,3,2,90,53,0,1,90,4,90,nein,ja
3758,f,20,151.7,65.4,5628.038803348318,lehre,katholisch,1,4,4,750,39,0,10,96,5,15,nein,nein
3759,f,47,152.4,54.9,10100,sek III,konfessionslos,2,6,7,1150,27,0,2,88,2,61,nein,nein
3760,f,35,180,NA,5700,lehre,NA,3,5,6,920,0,2,1,84,1,42,nein,ja
3761,m,34,175.4,92.1,5900,lehre,NA,2,5,2,730,36,3,1,84,6,119,nein,ja
3762,f,43,162.9,62.3,6800,lehre,konfessionslos,1,8,5,1020,0,3,4,118,6,90,nein,ja
3763,f,47,156.5,43.4,7600,obligatorisch,katholisch,1,8,5,960,18,2,0,119,5,47,nein,ja
3764,m,21,171.9,79.1,3400,lehre,katholisch,0,6,4,360,38,0,2,80,2,73,nein,nein
3765,m,73,166.2,NA,11400,sek III,katholisch,2,4,3,1060,63,2,5,62,3,54,nein,nein
3766,f,64,157.8,66.5,9700,sek III,konfessionslos,3,5,6,880,57,7,4,110,5,72,nein,ja
3767,m,73,162.4,89.4,11600,obligatorisch,katholisch,3,6,3,1370,61,0,4,79,1,44,ja,nein
3768,m,39,190.4,83.4,7600,lehre,evangelisch-reformiert,2,3,2,770,7,2,1,89,2,77,nein,ja
3769,m,42,174.4,93.2,8600,sek III,NA,2,5,5,50,60,0,5,88,3,72,nein,ja
3770,f,65,147.8,72.7,10100,sek III,katholisch,2,4,6,1000,20,0,5,106,6,66,nein,ja
3771,f,38,155.2,82.5,NA,lehre,katholisch,1,6,3,NA,35,7,2,110,2,95,nein,ja
3772,m,65,190.5,77.4,NA,sek III,NA,1,9,4,NA,55,0,3,68,4,65,nein,nein
3773,f,36,164.7,46.5,6400,lehre,katholisch,3,5,6,550,11,3,2,94,6,38,nein,ja
3774,m,73,173.4,108.7,13600,sek III,konfessionslos,1,5,6,850,51,3,5,34,3,81,ja,nein
3775,m,59,180.3,71.5,10700,lehre,katholisch,2,9,8,1200,28,0,5,71,4,68,nein,ja
3776,m,82,172.7,95.9,13100,sek III,evangelisch-reformiert,1,6,6,1310,50,0,5,113,3,93,nein,ja
3777,f,18,164.6,60.5,2700,lehre,evangelisch-reformiert,1,6,5,190,33,8,4,80,5,83,nein,ja
3778,f,33,149.3,63.5,7600,sek III,konfessionslos,2,9,6,1380,13,5,7,60,1,89,nein,ja
3779,m,88,182.5,91.8,14700,sek III,katholisch,2,9,6,1170,49,4,6,90,2,63,nein,ja
3780,m,73,183.7,70.6,9800,obligatorisch,katholisch,1,7,2,1240,31,0,2,67,3,77,nein,ja
3781,f,38,171.2,79.6,7500,lehre,evangelisch-reformiert,2,6,4,620,27,4,3,96,1,65,nein,ja
3782,m,62,158.6,93.2,9700,sek III,konfessionslos,3,3,5,940,7,0,5,63,3,55,nein,nein
3783,m,22,175,85.1,NA,sek III,evangelisch-reformiert,0,7,4,NA,6,8,9,77,3,32,nein,ja
3784,m,51,175.8,NA,8800,sek III,konfessionslos,0,5,7,160,67,6,2,100,3,44,nein,ja
3785,m,76,174.6,96.2,12100,sek III,andere,3,7,7,1450,29,0,3,76,1,15,ja,ja
3786,m,31,193.5,86,5600,sek III,evangelisch-reformiert,1,6,4,410,53,8,6,106,3,3,nein,ja
3787,f,61,177.7,58.5,9800,lehre,muslimisch,2,7,3,1060,32,5,7,47,4,66,nein,ja
3788,m,25,171.4,100,3400,sek III,katholisch,1,9,7,680,0,0,4,76,4,24,nein,nein
3789,f,50,174.8,72.3,7100,sek III,katholisch,3,8,4,950,25,0,1,142,4,57,nein,ja
3790,m,73,178.7,78.9,NA,sek II,katholisch,2,4,5,NA,71,7,7,61,3,96,nein,nein
3791,f,88,147.5,61.9,12600,sek III,katholisch,2,4,6,1170,20,0,7,54,1,97,nein,ja
3792,m,46,198.9,76.4,8900,sek III,andere,2,7,5,890,0,8,6,97,2,71,nein,ja
3793,m,73,162.6,75.2,NA,lehre,konfessionslos,1,5,3,NA,31,0,2,88,3,91,nein,ja
3794,f,73,173.8,56.6,12700,obligatorisch,muslimisch,1,7,2,1940,0,0,4,74,4,43,nein,nein
3795,m,46,186.7,71.3,6400,lehre,evangelisch-reformiert,2,9,5,910,36,2,8,80,3,68,nein,ja
3796,f,73,160.1,62.6,9100,lehre,katholisch,4,8,6,1230,17,1,3,71,5,70,nein,ja
3797,f,73,161.6,74.9,NA,lehre,konfessionslos,1,4,5,NA,34,1,5,74,5,72,nein,ja
3798,m,34,190.1,94,6100,lehre,NA,1,6,3,120,55,5,5,73,5,34,ja,nein
3799,f,33,176.6,63.1,6900,lehre,evangelisch-reformiert,4,9,7,1280,8,0,1,89,5,89,nein,ja
3800,m,67,169.4,116.1,11000,sek II,konfessionslos,1,9,3,1460,15,0,3,78,2,84,nein,ja
3801,f,43,155.2,NA,8800,lehre,konfessionslos,2,3,8,950,0,0,4,107,5,93,nein,nein
3802,f,58,169.6,NA,8600,sek II,NA,2,7,3,780,29,4,5,122,4,64,nein,ja
3803,m,55,182.4,91.5,9100,sek III,katholisch,1,7,7,1380,36,0,6,81,3,42,nein,nein
3804,m,43,194.2,NA,6400,obligatorisch,NA,3,6,5,440,54,6,5,119,4,125,nein,ja
3805,m,73,173.7,83.9,12400,sek III,evangelisch-reformiert,1,8,4,1460,18,4,6,91,1,75,nein,nein
3806,f,48,158.1,60.4,7500,sek III,katholisch,1,6,4,1000,1,0,3,91,6,66,nein,ja
3807,m,33,176.4,91.6,4800,obligatorisch,katholisch,1,6,5,80,65,6,8,116,3,56,nein,ja
3808,f,42,151.7,67.8,6300,sek III,NA,2,6,5,590,29,5,6,108,6,74,nein,ja
3809,f,73,164.3,50.7,11600,sek III,NA,2,7,3,1520,20,0,9,126,4,44,nein,nein
3810,m,30,201.7,90,4600,sek II,evangelisch-reformiert,1,4,5,450,35,0,4,69,4,6,nein,nein
3811,f,34,154.3,NA,5700,lehre,katholisch,4,6,4,770,16,4,1,78,5,33,nein,ja
3812,f,77,177.7,73.7,11400,sek III,evangelisch-reformiert,2,8,7,1650,7,0,6,86,5,22,nein,ja
3813,f,71,167.3,61.1,12100,sek III,konfessionslos,1,4,1,1270,19,1,5,87,6,27,nein,nein
3814,f,53,172,68.3,10600,lehre,konfessionslos,2,4,5,1140,17,3,5,114,7,86,nein,ja
3815,f,37,162.9,NA,7300,sek III,katholisch,5,6,7,1070,7,0,2,122,5,63,nein,ja
3816,f,20,175.4,61.9,4200,sek III,evangelisch-reformiert,2,7,3,760,33,2,5,111,4,75,nein,nein
3817,f,69,164.9,61.8,NA,sek III,konfessionslos,3,7,6,NA,0,0,3,85,6,32,nein,nein
3818,m,68,181.1,75,11100,lehre,evangelisch-reformiert,1,6,3,1140,51,0,7,64,3,19,nein,nein
3819,m,73,175.5,80.8,10400,obligatorisch,NA,3,9,5,1440,0,4,6,94,3,79,nein,nein
3820,m,34,179.3,72.4,5900,lehre,evangelisch-reformiert,1,4,7,970,0,3,7,105,2,59,nein,nein
3821,f,72,152.8,66.3,9600,sek III,katholisch,0,10,7,1270,24,8,1,101,3,59,nein,nein
3822,f,69,163.5,64.3,12800,lehre,evangelisch-reformiert,1,8,5,1440,19,0,3,92,6,49,nein,ja
3823,f,54,156.9,NA,NA,sek III,NA,1,5,7,NA,37,0,6,119,5,41,nein,ja
3824,m,35,181.5,99.6,4300,lehre,katholisch,0,6,3,240,14,5,7,124,2,47,nein,nein
3825,m,28,154.8,81,5400,sek III,NA,2,5,6,400,49,0,5,77,2,72,nein,nein
3826,f,27,159.7,63.4,NA,sek III,evangelisch-reformiert,1,7,5,NA,16,0,2,54,7,66,nein,nein
3827,f,25,171.1,NA,3700,lehre,katholisch,1,10,7,600,22,0,4,52,2,74,nein,nein
3828,m,73,165.1,90.8,12500,sek III,konfessionslos,1,6,8,1260,43,1,8,75,5,72,nein,ja
3829,f,81,176.5,NA,14300,obligatorisch,NA,1,8,3,1540,46,0,2,67,2,61,ja,ja
3830,f,53,145.1,NA,8400,sek III,evangelisch-reformiert,1,7,6,670,37,5,4,109,2,49,nein,ja
3831,f,60,167,56.8,10100,lehre,evangelisch-reformiert,2,8,2,1000,30,4,8,72,1,77,nein,nein
3832,m,22,169.2,99.3,NA,lehre,konfessionslos,4,3,6,NA,34,0,2,71,1,99,nein,ja
3833,f,40,175.9,66.2,7900,sek III,katholisch,3,7,7,1360,0,0,6,81,7,87,nein,ja
3834,f,43,167.3,60,6400,lehre,katholisch,1,8,9,710,0,0,4,70,5,65,nein,ja
3835,m,37,183.6,96,3900,sek III,konfessionslos,0,8,5,60,61,0,5,82,1,37,nein,ja
3836,f,63,163.3,60.8,NA,lehre,katholisch,3,5,10,NA,0,2,4,104,2,59,nein,nein
3837,f,29,178.8,58,6500,lehre,NA,0,4,5,850,27,0,5,113,4,42,nein,ja
3838,f,84,162,69.9,16600,sek III,evangelisch-reformiert,2,10,3,1690,39,0,7,92,5,71,nein,nein
3839,m,73,188.5,94.2,11300,lehre,evangelisch-reformiert,1,6,5,1120,40,3,5,52,5,54,nein,ja
3840,f,75,160.3,56.6,13400,lehre,NA,1,8,6,1520,0,0,5,112,4,49,nein,ja
3841,f,29,176.1,58,5400,sek III,konfessionslos,1,4,3,420,23,0,4,74,7,51,nein,nein
3842,m,73,169.5,74,14700,lehre,NA,3,4,7,900,37,0,9,99,2,61,nein,ja
3843,m,39,166.5,87.8,6000,sek II,evangelisch-reformiert,1,7,5,810,51,0,2,135,3,33,nein,ja
3844,f,37,164.4,NA,NA,sek III,katholisch,1,5,7,NA,7,0,8,95,4,74,nein,nein
3845,f,39,144.7,NA,5800,lehre,NA,2,9,6,760,42,0,4,119,5,41,nein,ja
3846,m,42,187.7,100.2,NA,sek III,katholisch,1,4,4,NA,41,0,7,109,3,53,nein,ja
3847,f,59,181.7,65,8400,lehre,evangelisch-reformiert,4,9,6,1060,29,0,8,82,6,62,nein,nein
3848,m,73,174.8,81.6,10500,lehre,katholisch,4,9,8,620,44,0,5,67,3,59,nein,ja
3849,f,38,162.6,62.5,NA,sek III,konfessionslos,0,8,1,NA,38,0,3,72,8,42,nein,nein
3850,m,64,172.8,NA,10200,sek III,andere,1,5,2,1050,20,0,4,100,4,13,ja,ja
3851,m,53,166.7,NA,10100,sek III,evangelisch-reformiert,2,7,3,600,61,6,3,51,3,82,nein,ja
3852,m,40,177.4,NA,7700,sek III,katholisch,3,7,5,970,0,3,2,58,4,113,nein,ja
3853,m,42,171.6,67.3,6600,sek III,katholisch,1,8,7,790,29,5,6,82,4,56,nein,ja
3854,m,73,172.5,77.3,10000,obligatorisch,konfessionslos,2,6,6,1250,37,0,2,81,1,49,nein,ja
3855,m,31,175.5,81.8,2500,lehre,NA,1,8,3,620,36,0,5,76,4,99,nein,ja
3856,f,37,178.2,64.1,6500,lehre,konfessionslos,1,6,9,1050,9,0,9,109,5,58,nein,nein
3857,m,43,187.6,90.1,NA,sek III,NA,1,5,6,NA,31,6,6,76,3,104,nein,nein
3858,m,82,181,70.2,NA,lehre,katholisch,3,6,6,NA,0,4,3,98,5,101,nein,ja
3859,m,50,183.5,94.7,9000,lehre,katholisch,1,5,6,400,36,0,2,94,5,47,nein,nein
3860,f,27,173.2,57,4600,lehre,evangelisch-reformiert,1,6,5,400,15,3,1,81,4,49,nein,ja
3861,m,51,198.5,101.1,9000,sek III,katholisch,2,8,5,990,44,2,1,74,1,17,ja,nein
3862,f,37,176.4,61.5,7100,sek III,NA,3,4,7,860,14,1,5,131,6,94,nein,nein
3863,m,73,180.3,78.3,13000,lehre,katholisch,2,7,3,1520,32,3,3,88,3,122,nein,nein
3864,f,72,159,57.2,12500,lehre,katholisch,1,5,4,1600,24,0,2,79,7,42,nein,nein
3865,f,46,159.3,78,6100,sek III,konfessionslos,0,4,3,590,17,0,5,77,2,50,nein,ja
3866,m,77,168.9,78,12000,sek III,NA,2,6,7,1290,43,0,7,67,2,95,nein,nein
3867,f,73,162.4,62.3,12400,sek III,katholisch,3,7,7,1370,16,0,6,108,6,62,nein,nein
3868,m,53,173.2,NA,7900,sek III,katholisch,3,3,7,830,46,0,2,94,5,59,nein,ja
3869,m,55,180.6,NA,10300,lehre,andere,2,7,5,1170,0,2,0,58,4,17,nein,ja
3870,m,36,183.5,92.7,5500,sek III,konfessionslos,4,5,3,180,16,0,0,74,5,56,nein,ja
3871,m,52,146.2,92.6,7900,sek II,katholisch,1,6,3,860,34,4,9,99,2,76,nein,nein
3872,m,45,176.5,74.3,6200,sek III,konfessionslos,1,7,10,770,47,6,8,126,1,65,nein,ja
3873,f,53,152.3,77.7,10500,sek III,andere,2,2,9,940,24,0,7,78,6,43,nein,nein
3874,m,56,177.9,71.3,7500,sek III,NA,3,4,4,380,46,0,3,84,4,98,nein,ja
3875,m,51,165.9,92.6,NA,obligatorisch,katholisch,1,5,4,NA,0,4,4,69,3,40,nein,ja
3876,m,21,172.6,85.9,NA,sek III,evangelisch-reformiert,4,2,8,NA,56,0,2,67,3,42,nein,ja
3877,f,32,152.5,NA,5900,lehre,NA,3,7,6,520,24,3,4,100,2,57,nein,nein
3878,f,69,159.5,57.5,11300,sek III,katholisch,3,4,6,900,36,6,5,77,5,84,nein,ja
3879,f,67,160.4,79.8,11800,sek II,katholisch,3,6,3,1180,25,0,6,114,7,76,nein,ja
3880,m,41,185,83.8,8700,lehre,evangelisch-reformiert,3,3,5,590,48,0,0,88,5,64,nein,ja
3881,f,74,168.4,66.4,11400,obligatorisch,NA,3,7,4,1540,0,2,8,80,6,84,nein,ja
3882,f,61,170.4,62.2,9300,lehre,konfessionslos,0,6,3,650,38,0,7,61,5,86,nein,ja
3883,f,49,172.7,54.8,9000,lehre,evangelisch-reformiert,2,5,4,960,15,5,2,69,8,65,nein,ja
3884,f,52,165.9,NA,NA,obligatorisch,NA,0,6,5,NA,23,0,6,95,9,63,nein,ja
3885,f,64,167.5,64.8,10600,lehre,evangelisch-reformiert,1,5,3,1250,0,7,6,65,6,52,nein,ja
3886,m,28,167.9,82.7,4000,sek II,konfessionslos,0,8,5,690,28,3,0,85,2,52,nein,ja
3887,m,19,184.5,NA,NA,sek III,konfessionslos,2,6,6,NA,0,3,8,78,4,53,nein,nein
3888,f,20,157.3,67.5,3700,lehre,katholisch,2,5,4,120,37,3,6,67,4,46,ja,nein
3889,f,64,160.7,70.3,6700,obligatorisch,katholisch,2,6,3,1110,0,1,0,71,4,83,nein,ja
3890,m,80,190.5,84.4,14500,sek III,katholisch,2,5,5,1370,34,0,8,97,2,80,nein,ja
3891,m,53,172.7,68.2,8700,sek III,konfessionslos,2,7,7,780,51,0,0,97,3,26,nein,ja
3892,f,23,155.2,63.1,5000,obligatorisch,konfessionslos,1,5,8,310,37,5,7,94,3,83,nein,nein
3893,f,73,146.1,NA,11300,sek III,andere,4,5,7,1250,7,6,5,54,5,82,nein,ja
3894,m,35,188.4,88.8,NA,sek III,evangelisch-reformiert,3,5,5,NA,54,0,5,79,2,62,nein,nein
3895,m,67,183.3,NA,10900,obligatorisch,evangelisch-reformiert,3,6,5,1100,31,0,4,76,3,61,nein,nein
3896,m,36,173.2,85.2,5000,sek III,NA,1,6,9,190,42,0,7,80,3,69,nein,nein
3897,m,52,168.6,NA,10600,lehre,katholisch,2,4,4,680,66,4,0,88,4,52,nein,nein
3898,f,73,160.3,58.3,11600,obligatorisch,katholisch,1,4,3,1120,16,4,6,91,6,21,nein,ja
3899,m,38,174.7,101.7,6300,sek III,evangelisch-reformiert,1,7,2,630,38,3,7,75,1,17,ja,ja
3900,f,53,180,77.3,NA,lehre,konfessionslos,5,10,8,NA,46,0,4,113,4,49,nein,ja
3901,f,65,149.9,74.5,10500,obligatorisch,konfessionslos,2,6,3,840,41,4,2,83,4,80,nein,nein
3902,m,53,184.9,80.7,9000,lehre,evangelisch-reformiert,1,7,7,1050,14,2,8,65,3,88,nein,ja
3903,m,40,164.4,88.1,7800,sek III,konfessionslos,1,5,5,1160,0,0,1,109,0,73,nein,nein
3904,f,30,184.9,NA,5500,lehre,evangelisch-reformiert,3,8,2,710,36,0,5,79,6,91,nein,nein
3905,f,42,176.3,NA,6100,sek II,konfessionslos,4,6,2,630,0,0,3,114,5,79,nein,ja
3906,m,38,165.2,93.6,7200,lehre,konfessionslos,1,10,6,1130,28,6,8,102,6,30,nein,nein
3907,f,66,168.5,78.6,10700,sek III,konfessionslos,1,9,7,1260,0,1,3,91,2,72,nein,ja
3908,m,39,182.5,NA,6700,lehre,konfessionslos,1,4,4,1050,0,7,3,116,7,60,nein,ja
3909,f,51,167.5,65.1,9800,sek II,evangelisch-reformiert,1,4,2,910,25,0,7,106,4,27,nein,ja
3910,m,42,189.3,91.2,8300,lehre,NA,0,6,7,360,66,0,8,60,4,84,nein,ja
3911,f,56,162.6,56.2,9700,obligatorisch,konfessionslos,2,6,5,1350,24,3,2,77,3,13,nein,ja
3912,m,49,176.3,106.5,10500,lehre,katholisch,1,7,4,1160,0,3,3,103,4,25,nein,nein
3913,m,36,165.1,NA,NA,sek III,konfessionslos,4,7,8,NA,48,5,6,100,3,49,nein,ja
3914,f,67,172,64.4,8900,lehre,katholisch,2,7,2,980,28,5,3,84,2,75,nein,ja
3915,f,52,162.3,NA,9600,lehre,andere,1,7,2,1150,17,0,5,76,5,54,nein,ja
3916,f,26,174.4,56,2700,lehre,katholisch,1,9,8,610,18,5,2,72,5,59,nein,ja
3917,m,29,189.3,106.7,7000,lehre,katholisch,1,7,4,240,63,0,3,96,4,59,nein,ja
3918,f,46,163.6,70.9,10400,sek III,katholisch,2,3,9,830,14,2,2,88,5,72,nein,ja
3919,f,59,163.3,76.7,7000,sek II,konfessionslos,4,8,4,1200,0,2,4,101,4,51,nein,nein
3920,f,34,160.3,61.9,5400,obligatorisch,katholisch,5,5,9,840,31,3,0,84,8,77,nein,ja
3921,f,61,170.5,61.2,9200,lehre,katholisch,0,6,5,1110,0,3,8,71,3,59,nein,ja
3922,m,80,164,90.1,15400,obligatorisch,katholisch,3,7,4,1670,42,0,7,72,3,58,nein,ja
3923,m,50,170.3,77.3,8800,lehre,NA,1,5,5,580,33,0,7,106,4,40,nein,nein
3924,f,41,167.3,71.6,NA,sek II,konfessionslos,1,6,3,NA,16,1,0,97,7,79,nein,ja
3925,m,38,169,NA,5300,obligatorisch,katholisch,1,5,7,270,42,0,5,66,1,0,nein,ja
3926,m,73,191.4,103.1,12500,obligatorisch,NA,4,5,7,920,42,0,7,99,2,21,nein,nein
3927,m,64,174.2,103,10600,sek III,konfessionslos,0,9,8,1690,0,0,3,92,4,104,nein,nein
3928,f,27,169,58.2,6700,obligatorisch,muslimisch,2,6,4,790,27,0,5,53,6,41,nein,ja
3929,m,26,164.4,85.1,NA,lehre,konfessionslos,3,4,4,NA,22,0,5,92,3,82,nein,nein
3930,f,31,174.6,56.6,4900,sek III,katholisch,0,6,4,720,34,5,6,93,5,60,nein,nein
3931,m,30,179.1,55.4,5500,sek III,evangelisch-reformiert,1,7,4,550,55,2,1,61,4,80,nein,ja
3932,m,78,179.9,111.3,12100,sek III,evangelisch-reformiert,2,5,2,890,52,6,7,81,5,2,nein,nein
3933,f,73,173.5,NA,11600,lehre,andere,2,4,5,1200,0,3,3,55,4,77,nein,ja
3934,f,51,159,69.5,NA,sek III,NA,1,8,3,NA,17,0,5,63,4,51,nein,nein
3935,f,41,178.1,59.9,8900,sek III,katholisch,1,5,9,860,33,1,7,83,5,68,nein,ja
3936,f,56,153.1,61.7,NA,sek III,konfessionslos,1,6,9,NA,20,0,1,88,4,25,nein,nein
3937,m,48,165.9,NA,7600,obligatorisch,katholisch,2,10,7,730,41,0,5,85,2,15,nein,ja
3938,f,86,167.1,NA,15200,lehre,katholisch,3,8,6,1290,32,5,6,78,6,41,nein,ja
3939,m,55,200.6,92.3,7100,lehre,evangelisch-reformiert,0,5,5,880,16,2,3,57,4,25,nein,ja
3940,m,62,176.9,92,9300,lehre,andere,3,9,8,1050,49,0,3,104,4,76,nein,ja
3941,m,24,168.8,110.1,3700,obligatorisch,NA,1,1,6,80,36,9,5,85,3,54,nein,nein
3942,f,19,162,67.5,4800,lehre,konfessionslos,1,3,1,430,29,6,4,55,5,45,nein,ja
3943,f,47,167.4,49.7,7500,sek III,konfessionslos,4,4,5,730,33,0,2,88,6,37,nein,ja
3944,f,28,146.1,62.4,5900,lehre,konfessionslos,2,9,7,1110,29,1,1,89,5,44,nein,nein
3945,m,52,156.7,92.6,8900,obligatorisch,katholisch,1,8,6,1160,36,0,3,59,2,55,nein,ja
3946,m,62,188.5,72,9200,lehre,evangelisch-reformiert,3,6,3,740,24,4,3,94,3,42,nein,ja
3947,f,64,168.8,65.4,12200,sek III,katholisch,2,5,1,1230,41,0,5,90,3,56,nein,ja
3948,f,52,156.2,70.1,10300,sek III,evangelisch-reformiert,3,5,6,930,36,0,6,97,4,56,nein,ja
3949,f,29,152,NA,4500,lehre,andere,1,6,4,560,23,5,3,121,6,82,nein,ja
3950,f,78,153.6,63.6,11500,obligatorisch,katholisch,1,7,8,1450,22,2,3,92,3,44,nein,nein
3951,m,33,189.8,NA,NA,sek III,katholisch,1,4,2,NA,47,0,4,91,2,49,nein,ja
3952,m,64,165.5,81.5,10900,sek II,konfessionslos,4,5,7,1010,32,5,4,64,2,85,nein,nein
3953,m,40,172.6,73.6,7500,sek II,muslimisch,1,5,4,690,0,5,4,83,3,17,nein,ja
3954,f,35,168.8,60.8,7800,sek III,katholisch,1,3,3,1000,0,0,4,89,6,80,nein,ja
3955,m,39,182.1,85.4,8600,sek III,evangelisch-reformiert,2,4,2,850,27,4,2,62,4,28,nein,ja
3956,m,57,177.3,82.8,10500,lehre,NA,1,8,5,1100,31,6,4,57,3,43,nein,ja
3957,m,76,168.4,77.2,11400,lehre,evangelisch-reformiert,1,6,4,1060,21,8,3,86,3,48,nein,ja
3958,f,61,167.6,73.7,10000,lehre,konfessionslos,1,8,5,920,45,0,7,64,7,39,nein,ja
3959,m,36,171.8,55.1,NA,obligatorisch,konfessionslos,2,8,7,NA,59,6,7,65,4,81,nein,ja
3960,m,59,160.9,86.7,11400,sek III,NA,1,4,4,1650,0,2,1,83,1,0,nein,ja
3961,f,54,173.6,73.2,10100,sek II,evangelisch-reformiert,3,9,8,1120,43,2,6,93,4,65,nein,ja
3962,m,61,157.3,77.7,13400,lehre,andere,3,4,3,960,44,0,5,95,3,53,nein,ja
3963,m,28,184.1,96.5,5300,lehre,NA,0,6,4,590,11,1,5,59,4,13,nein,ja
3964,m,60,159.2,86.2,9100,obligatorisch,katholisch,2,9,5,860,53,3,4,73,3,31,nein,ja
3965,m,21,180,91.7,3800,sek III,katholisch,4,8,6,390,47,0,4,103,3,80,nein,ja
3966,m,23,162.1,NA,3200,sek III,katholisch,1,3,9,-40,37,4,5,79,4,75,nein,ja
3967,f,40,180.4,56.8,8600,lehre,NA,2,7,7,1090,0,0,3,91,4,43,nein,nein
3968,m,51,175.2,78.6,9000,sek III,konfessionslos,1,9,3,1530,0,8,7,69,5,66,nein,ja
3969,m,56,202.6,98.3,11500,lehre,konfessionslos,2,5,6,930,46,0,9,88,1,83,nein,ja
3970,f,73,174.3,60.7,11900,sek III,katholisch,3,7,5,1280,16,3,3,98,8,91,nein,nein
3971,f,40,178.9,69.5,9200,sek III,konfessionslos,1,8,4,1330,23,0,2,86,6,46,nein,nein
3972,m,35,185.4,70.3,NA,sek III,NA,3,7,9,NA,44,4,0,98,4,61,nein,nein
3973,f,56,150.6,60.1,10300,sek II,konfessionslos,0,6,3,910,14,3,3,96,5,77,nein,nein
3974,f,55,159.4,68.9,8900,obligatorisch,katholisch,3,5,3,740,37,0,2,97,8,49,nein,ja
3975,f,34,157.8,59.7,6700,lehre,konfessionslos,0,4,5,920,11,0,3,55,7,23,ja,nein
